CountDeclMethod,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,MaxInheritanceTree,SumCyclomaticStrict,is_smell
2,0,2,18,3,4,FALSE
7,3,4,34,3,7,FALSE
1,0,1,4,3,1,FALSE
4,3,1,35,3,8,FALSE
2,0,2,16,2,3,FALSE
4,1,3,43,3,11,FALSE
4,0,4,26,1,7,FALSE
3,1,2,24,3,4,FALSE
0,0,0,2,1,0,FALSE
6,0,4,44,3,14,FALSE
1,0,1,35,3,5,FALSE
2,1,1,15,3,2,FALSE
6,0,3,70,3,30,FALSE
5,4,1,83,3,21,FALSE
3,2,1,20,3,3,FALSE
5,0,1,49,2,8,FALSE
7,0,7,51,2,11,FALSE
7,0,5,72,1,11,FALSE
10,0,6,98,2,23,TRUE
11,0,11,70,2,19,FALSE
7,0,5,65,2,13,FALSE
11,0,11,244,1,33,FALSE
27,1,24,283,1,55,TRUE
2,0,2,19,1,3,FALSE
1,0,1,5,3,1,FALSE
1,0,1,5,2,1,FALSE
1,0,1,5,3,1,FALSE
4,0,4,18,4,4,FALSE
6,0,6,50,3,13,FALSE
29,25,4,1371,1,328,TRUE
10,8,2,243,1,47,FALSE
2,0,2,14,2,2,FALSE
2,0,2,76,2,2,FALSE
2,0,3,15,2,2,FALSE
3,0,3,29,2,4,FALSE
40,0,41,330,1,40,FALSE
25,0,26,199,2,25,FALSE
3,1,2,88,5,10,FALSE
30,0,30,518,1,55,FALSE
47,7,31,1342,1,227,TRUE
50,3,25,3600,1,296,TRUE
18,5,2,1097,1,286,TRUE
11,0,10,112,1,11,FALSE
4,2,2,196,1,8,FALSE
2,0,1,26,1,2,FALSE
11,0,11,107,1,11,FALSE
4,0,2,166,2,10,FALSE
1,0,1,34,1,6,FALSE
63,10,34,2005,2,244,TRUE
16,0,16,175,1,16,FALSE
1,1,0,38,1,1,FALSE
11,0,10,146,1,17,FALSE
1,1,1,42,1,7,FALSE
4,0,4,51,2,11,FALSE
12,0,13,164,1,21,FALSE
15,0,14,97,1,15,FALSE
7,1,4,321,1,51,TRUE
9,3,6,200,1,20,FALSE
1,0,1,10,1,2,FALSE
4,0,5,25,1,4,FALSE
8,0,9,47,1,8,FALSE
8,0,9,47,1,8,FALSE
16,0,17,91,1,16,FALSE
5,0,2,29,6,5,FALSE
7,0,4,48,6,7,FALSE
6,0,3,39,6,8,FALSE
66,5,57,1917,2,785,TRUE
7,3,4,301,1,48,TRUE
2,0,2,8,3,2,FALSE
2,0,3,12,2,4,FALSE
22,18,4,603,1,114,TRUE
12,1,11,96,2,21,FALSE
33,27,4,1043,6,70,TRUE
11,8,3,228,1,46,FALSE
10,0,4,86,1,11,FALSE
18,5,1,1172,2,238,TRUE
9,0,9,86,2,9,FALSE
23,2,9,1288,3,287,TRUE
4,0,5,95,1,4,FALSE
70,31,16,2999,1,684,TRUE
17,4,9,571,7,45,TRUE
2,0,2,66,6,8,FALSE
7,1,6,239,6,27,FALSE
10,2,8,149,7,14,FALSE
40,4,36,1243,1,133,TRUE
11,0,11,83,1,11,FALSE
1,0,2,8,2,2,FALSE
5,0,5,95,3,9,FALSE
29,0,25,573,3,71,TRUE
8,0,8,100,1,13,FALSE
1,1,0,252,1,1,FALSE
1,1,0,83,1,1,FALSE
11,0,7,323,3,49,TRUE
1,0,1,9,1,2,FALSE
12,0,12,97,1,19,FALSE
69,1,62,2133,1,330,TRUE
2,0,1,21,3,3,FALSE
30,9,20,1323,1,316,TRUE
15,0,15,263,2,19,FALSE
17,0,0,97,1,17,FALSE
13,2,11,218,2,51,TRUE
1,0,2,8,1,2,FALSE
162,19,140,3129,1,476,TRUE
41,0,42,380,1,42,FALSE
