CountLine,CyclomaticStrict,MaxNesting,is_smell
3,1,1,FALSE
3,1,1,FALSE
5,1,1,FALSE
11,2,2,FALSE
11,2,2,FALSE
11,2,2,FALSE
29,5,3,FALSE
3,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
33,6,3,FALSE
48,10,4,FALSE
523,139,6,TRUE
257,75,6,TRUE
5,1,1,FALSE
4,1,1,FALSE
5,1,1,FALSE
12,2,2,FALSE
3,1,1,FALSE
4,1,1,FALSE
176,23,5,TRUE
18,3,2,FALSE
27,4,2,FALSE
12,3,3,FALSE
7,1,1,FALSE
4,1,1,FALSE
30,3,3,FALSE
206,60,7,TRUE
111,21,7,TRUE
7,2,1,FALSE
18,3,3,FALSE
8,1,1,FALSE
14,2,2,FALSE
31,2,2,FALSE
7,1,1,FALSE
22,8,3,FALSE
79,3,5,FALSE
15,4,3,FALSE
12,2,2,FALSE
3,1,1,FALSE
32,6,3,FALSE
134,22,6,TRUE
122,24,6,TRUE
4,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
6,2,2,FALSE
10,3,2,FALSE
181,29,6,TRUE
110,20,8,TRUE
22,3,3,FALSE
18,2,2,FALSE
13,2,2,FALSE
13,2,2,FALSE
23,5,5,FALSE
5,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
119,32,6,TRUE
267,37,9,TRUE
6,1,1,FALSE
16,3,3,FALSE
17,2,2,FALSE
4,1,1,FALSE
8,2,1,FALSE
7,2,1,FALSE
10,2,1,FALSE
23,4,2,FALSE
50,11,6,FALSE
5,1,1,FALSE
5,1,1,FALSE
4,1,1,FALSE
4,1,1,FALSE
5,1,1,FALSE
402,72,8,TRUE
6,2,1,FALSE
6,2,1,FALSE
4,1,1,FALSE
4,1,1,FALSE
6,1,1,FALSE
29,4,4,FALSE
160,31,6,TRUE
6,1,1,FALSE
8,2,1,FALSE
4,1,1,FALSE
12,1,1,FALSE
244,50,8,TRUE
120,19,6,TRUE
6,2,1,FALSE
3,1,1,FALSE
6,3,1,FALSE
