is_smell,CountDeclMethod,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,MaxInheritanceTree,SumCyclomaticStrict
False,0.0,0.0,0.0,7.0,1.0,0.0
False,2.0,1.0,1.0,70.0,1.0,8.0
False,1.0,0.0,1.0,117.0,1.0,17.0
False,1.0,0.0,1.0,39.0,1.0,3.0
False,15.0,1.0,14.0,648.0,1.0,197.0
False,5.0,4.0,1.0,54.0,1.0,9.0
False,19.0,4.0,14.0,419.0,1.0,57.0
False,1.0,0.0,1.0,15.0,1.0,4.0
False,3.0,0.0,3.0,27.0,2.0,4.0
True,54.0,2.0,52.0,337.0,3.0,63.0
False,3.0,0.0,3.0,73.0,1.0,9.0
False,11.0,1.0,8.0,108.0,2.0,16.0
False,4.0,1.0,1.0,17.0,3.0,4.0
False,3.0,0.0,1.0,90.0,1.0,18.0
False,1.0,0.0,1.0,34.0,1.0,5.0
False,4.0,0.0,3.0,66.0,2.0,7.0
False,2.0,0.0,2.0,17.0,4.0,2.0
True,117.0,1.0,116.0,1053.0,4.0,232.0
False,11.0,0.0,11.0,102.0,1.0,28.0
True,25.0,0.0,24.0,121.0,3.0,27.0
False,7.0,0.0,5.0,176.0,3.0,32.0
False,1.0,0.0,0.0,7.0,0.0,0.0
True,10.0,0.0,9.0,109.0,1.0,19.0
False,2.0,0.0,2.0,13.0,1.0,2.0
False,5.0,0.0,4.0,49.0,2.0,5.0
False,15.0,6.0,9.0,147.0,2.0,26.0
False,35.0,33.0,2.0,595.0,1.0,142.0
False,13.0,0.0,13.0,96.0,1.0,22.0
False,6.0,0.0,0.0,35.0,0.0,0.0
True,0.0,0.0,0.0,4.0,1.0,0.0
False,4.0,0.0,0.0,34.0,2.0,3.0
True,21.0,0.0,20.0,267.0,2.0,21.0
True,10.0,0.0,10.0,124.0,1.0,10.0
False,29.0,0.0,29.0,210.0,1.0,33.0
False,3.0,2.0,1.0,54.0,1.0,11.0
False,6.0,1.0,4.0,78.0,1.0,10.0
False,5.0,0.0,5.0,45.0,2.0,7.0
False,19.0,0.0,19.0,121.0,2.0,24.0
False,3.0,1.0,2.0,77.0,2.0,9.0
True,9.0,4.0,4.0,548.0,1.0,58.0
False,4.0,0.0,3.0,39.0,3.0,4.0
False,4.0,2.0,1.0,75.0,3.0,11.0
False,0.0,0.0,0.0,2.0,3.0,0.0
True,11.0,0.0,11.0,125.0,2.0,11.0
False,2.0,0.0,2.0,9.0,3.0,3.0
True,6.0,0.0,6.0,37.0,2.0,6.0
False,6.0,0.0,5.0,32.0,4.0,6.0
False,2.0,0.0,1.0,16.0,2.0,2.0
False,6.0,1.0,3.0,213.0,4.0,39.0
False,19.0,9.0,8.0,390.0,2.0,94.0
False,1.0,0.0,1.0,48.0,2.0,6.0
False,1.0,0.0,1.0,55.0,2.0,13.0
False,1.0,0.0,1.0,34.0,2.0,6.0
False,1.0,0.0,1.0,37.0,2.0,6.0
False,8.0,0.0,8.0,69.0,3.0,0.0
False,23.0,9.0,6.0,480.0,1.0,78.0
True,26.0,0.0,26.0,124.0,1.0,28.0
False,5.0,0.0,0.0,14.0,1.0,0.0
False,8.0,1.0,7.0,359.0,3.0,79.0
False,6.0,0.0,6.0,93.0,3.0,11.0
False,42.0,0.0,4.0,122.0,1.0,0.0
False,2.0,0.0,2.0,38.0,3.0,2.0
False,30.0,1.0,28.0,220.0,2.0,33.0
False,4.0,0.0,4.0,56.0,3.0,5.0
True,8.0,0.0,8.0,57.0,3.0,8.0
False,1.0,0.0,1.0,13.0,5.0,1.0
False,5.0,1.0,3.0,37.0,1.0,15.0
False,8.0,0.0,8.0,146.0,2.0,12.0
False,6.0,5.0,1.0,98.0,1.0,16.0
False,4.0,3.0,1.0,75.0,1.0,11.0
False,7.0,3.0,0.0,101.0,2.0,7.0
False,3.0,0.0,3.0,17.0,2.0,3.0
True,4.0,0.0,4.0,46.0,1.0,4.0
False,1.0,0.0,1.0,27.0,4.0,5.0
False,4.0,1.0,3.0,182.0,2.0,16.0
False,3.0,0.0,3.0,101.0,2.0,29.0
False,4.0,0.0,4.0,117.0,2.0,5.0
False,1.0,0.0,0.0,11.0,0.0,0.0
False,11.0,2.0,7.0,260.0,2.0,33.0
False,7.0,2.0,0.0,105.0,1.0,13.0
True,127.0,0.0,127.0,551.0,2.0,129.0
False,14.0,0.0,13.0,236.0,2.0,47.0
False,17.0,0.0,17.0,115.0,2.0,19.0
False,30.0,0.0,30.0,179.0,2.0,32.0
False,33.0,0.0,33.0,175.0,2.0,35.0
True,229.0,1.0,227.0,1389.0,2.0,261.0
False,2.0,0.0,0.0,6.0,0.0,0.0
False,3.0,0.0,0.0,26.0,0.0,0.0
False,7.0,0.0,5.0,73.0,1.0,9.0
False,1.0,0.0,1.0,8.0,4.0,1.0
False,7.0,1.0,6.0,166.0,1.0,28.0
False,8.0,3.0,4.0,419.0,2.0,39.0
False,1.0,0.0,1.0,6.0,4.0,1.0
False,2.0,0.0,2.0,16.0,1.0,2.0
False,5.0,0.0,5.0,22.0,1.0,3.0
False,6.0,1.0,4.0,79.0,1.0,7.0
False,17.0,1.0,16.0,140.0,1.0,30.0
False,2.0,0.0,0.0,24.0,0.0,0.0
False,28.0,4.0,19.0,469.0,1.0,51.0
False,4.0,1.0,3.0,57.0,1.0,6.0
True,7.0,1.0,6.0,93.0,2.0,8.0
False,3.0,0.0,3.0,29.0,3.0,4.0
False,3.0,0.0,3.0,22.0,3.0,3.0
True,11.0,1.0,8.0,232.0,1.0,12.0
False,5.0,0.0,3.0,75.0,1.0,5.0
False,4.0,1.0,3.0,979.0,1.0,8.0
False,17.0,4.0,10.0,343.0,2.0,54.0
False,8.0,2.0,6.0,184.0,1.0,26.0
False,12.0,1.0,9.0,189.0,1.0,26.0
False,17.0,1.0,2.0,232.0,1.0,47.0
False,2.0,0.0,2.0,12.0,3.0,2.0
False,48.0,0.0,48.0,562.0,1.0,79.0
False,5.0,1.0,4.0,123.0,1.0,15.0
False,6.0,1.0,3.0,71.0,1.0,9.0
False,8.0,2.0,5.0,117.0,2.0,13.0
False,8.0,0.0,7.0,82.0,4.0,16.0
False,6.0,0.0,0.0,88.0,3.0,6.0
False,4.0,0.0,4.0,54.0,3.0,7.0
False,12.0,2.0,6.0,144.0,1.0,18.0
False,3.0,0.0,3.0,61.0,1.0,5.0
False,3.0,2.0,0.0,49.0,1.0,9.0
False,2.0,0.0,2.0,36.0,1.0,2.0
False,1.0,0.0,1.0,22.0,2.0,2.0
False,7.0,0.0,4.0,36.0,4.0,5.0
False,9.0,0.0,4.0,161.0,4.0,18.0
False,3.0,0.0,3.0,29.0,1.0,3.0
False,3.0,0.0,3.0,30.0,5.0,3.0
False,4.0,0.0,4.0,41.0,5.0,5.0
